starid,name,country,magnitude,constellation,date
HD 67728,Dennis Collins ,United Kingdom,7.54,Pup,2011-09-18
HD 86275,Courtney Butler,USA,7.78,LMi,2011-09-21
HD 162007,Ignacio Conn ,USA,8.9,Oph,2011-09-27
HD 189448,Arthur Ribeiro,Brazil,9.7,Pav,2011-09-28
HD 246417,Tulla Árias,Spain,9.15,Aur,2011-09-29
HD 227402,Sheryl Heetebrij,South Africa,9.57,Cyg,2011-10-09
HD 9166,Edmondo Loggia,Italy,6.82,Cas,2011-10-10
HD 113722,Putri Saptono ,Indonesia,8.92,Cen,2011-10-11
HD 179813,Hyeonjong Yu ,South Korea,8.88,CrA,2011-10-13
HD 30105,Rémy Delaunay ,France,7.46,Eri,2011-10-14
HD 196250,Daniyah Hadad,Egypt,9.24,Cap,2011-10-19
HD 233225,Artura Adomo,Uruguay,8.81,Aur,2011-10-21
HD 98434,Quintilia Barese,Italy,6.61,Car,2011-10-22
HD 170879,Michèle Koch ,Switzerland,8.17,Her,2011-10-25
HD 2732,Renato Abeyta,Uruguay,8.19,And,2011-10-27
HD 166257,Janet Maheswara ,Indonesia,7.68,Oph,2011-10-29
HD 237259,Cantara Bata,Pakistan,8.61,Cam,2011-10-30
HD 121317,Abigaíl Zaragoza,Guatemala,7.15,Aps,2011-11-04
HD 1535,Xia Ko,China,8.28,Cas,2011-11-05
HD 139206,Raissa Silva,Brazil,6.97,Lup,2011-11-06
HD 203061,Ulderico Marino,Italy,7.57,Pav,2011-11-08
HD 135405,Elena Russo,Italy,8.35,Ser,2011-11-09
HD 185709,Deveny Lankhorst,Netherlands,8.32,Tel,2011-11-15
HD 11983,Jiseon Seong ,South Korea,8.2,Cet,2011-11-16
HD 138074,Stacey Knight ,United Kingdom,7.93,Boo,2011-11-18
HD 104358,Fortunata Ferri,Italy,7.76,Hya,2011-11-22
HD 141730,Carola Quintero,Guatemala,7.84,Dra,2011-11-24
HD 230428,Inès Vandamme ,Belgium,9.88,Aql,2011-11-28
HD 72506,Maisie Adams,USA,6.8,Hya,2011-12-01
HD 41692,Dimitri Denesik ,USA,5.37,Mon,2011-12-02
HD 170738,Jean Blanchet ,France,7.91,Her,2011-12-08
HD 45065,Mikkel Mathiesen,Denmark,8.79,Gem,2011-12-09
HD 5007,Ivonne Mojica,Spain,7.68,Psc,2011-12-12
HD 170829,Celia Westrik,Netherlands,6.49,Her,2011-12-14
HD 19862,Enrique Schäfer,Netherlands,8.24,Hyi,2011-12-15
HD 214100,Clelia Narváez,Argentina,9.98,Aqr,2011-12-16
HD 208619,Khalil Jaramillo,Spain,8.55,Cap,2011-12-17
HD 114256,Enzo Renard ,Belgium,5.79,Vir,2011-12-18
HD 159906,Elena Vinogradova,Russia,7.26,Dra,2011-12-20
HD 70645,Rufina Onio,Italy,8.12,UMa,2011-12-23
HD 97895,Alessio Siciliano,Italy,8.77,Hya,2011-12-24
HD 90502,Oliva Santillán,Spain,8.39,Ant,2011-12-27
HD 73686,Alzubra Harb,Morocco,7.86,Hya,2011-12-28
HD 23552,Isabel Arce,Argentina,6.18,Per,2011-12-31
HD 160307,Alfie Griffin,USA,9.04,Ara,2012-01-02
HD 74370,Imelda Manfrin,Italy,8.38,Vel,2012-01-04
HD 59051,Josh Carpenter,USA,8.95,Pup,2012-01-05
HD 7326,Christian Krogh,Norway,9.54,Phe,2012-01-06
HD 143754,Muyassar Cham,UAE,8.47,Nor,2012-01-07
HD 230855,Khatib Totah,Egypt,9.32,Sge,2012-01-08
HD 156456,Lisa Kityamuwesi ,Nigeria,6.62,Her,2012-01-12
HD 31026,Marcella Villalpando,Mexico,8.94,Cae,2012-01-14
HD 9160,Lucas Porter,USA,8.3,Phe,2012-01-15
HD 219625,Elise Webb,USA,8.47,And,2012-01-22
HD 16108,Priya Arfan ,Malaysia,6.8,And,2012-01-23
HD 168033,Babita Goswami ,India,9.05,Tel,2012-01-28
HD 38001,Manjari Kalita ,India,9.09,Ori,2012-01-30
HD 64827,Yue Wan Ting,China,6.85,Pup,2012-02-01
HD 210729,Benoît Fournier ,France,8.93,Cep,2012-02-03
HD 199721,Jackson Ávalos,Spain,8.61,Del,2012-02-04
HD 93600,Hua Yang,China,8.43,Car,2012-02-05
HD 170042,Laura Baker,USA,9.25,CrA,2012-02-07
HD 219904,Nelson Balistreri ,Philippines,7.7,And,2012-02-09
HD 116890,Bonny Hulsman,South Africa,6.17,Mus,2012-02-10
HD 220362,Mike Jenni ,Switzerland,8.57,And,2012-02-11
HD 179343,Dorothée Faucher,Canada,6.94,Aql,2012-02-23
HD 81702,Danielle O'Neill,USA,6.89,UMa,2012-02-24
HD 139061,Maya Noriega,Uruguay,7.74,Lib,2012-02-27
HD 158705,Bruno Pfister ,Switzerland,7.95,Sco,2012-03-03
HD 118656,Santiago Bogisich ,USA,8.39,UMa,2012-03-06
HD 17230,Karla Gaona,Spain,8.59,Ari,2012-03-07
HD 144705,Abdul-Sattar Kassis,Pakistan,8.04,CrB,2012-03-12
HD 159386,Kiera Read,USA,8.31,UMi,2012-03-14
HD 223068,Cassandre Ramón,Mexico,8.67,Tuc,2012-03-20
HD 144432,Khairy Daher,Saudi Arabia,8.19,Sco,2012-03-25
HD 72896,Neil Mills ,USA,9.17,Pyx,2012-03-27
HD 744,Shima Kat,Netherlands,7.51,And,2012-04-01
HD 2937,Emerald Feest ,Philippines,8.97,Scl,2012-04-06
HD 126679,Lars Gunnarsson,Sweden,7.31,Lib,2012-04-07
HD 109246,Lunah Bitar,Morocco,8.75,Dra,2012-04-08
HD 204342,Nellie Sundström,Sweden,8.56,Peg,2012-04-10
HD 120508,Feroz Devi ,India,7.04,Aps,2012-04-13
HD 262433,Madison Hammond,USA,9.79,Gem,2012-04-14
HD 136776,Martin Rendl,Czech Republic,8.9,Ser,2012-04-19
HD 183408,Abel Reichert ,Philippines,7.73,Sgr,2012-04-20
HD 11506,Eligio Noriega,Venezuela,7.51,Cet,2012-04-23
HD 128409,Andrómeda Henríquez,Guatemala,7.77,Cen,2012-04-24
HD 215482,Malcsi Magyar,Hungary,8.9,PsA,2012-05-03
HD 315260,Gines Chávez,Mexico,9.87,Sgr,2012-05-06
HD 18941,Evelyn Silva,Brazil,8.98,Eri,2012-05-07
HD 193010,Karlie Scott ,United Kingdom,6.92,Cyg,2012-05-11
HD 47018,Madison Hayes,USA,8.55,Men,2012-05-18
HD 41804,Viola Opega ,Nigeria,7.54,Cam,2012-05-20
HD 57828,Domiciano Villareal,Spain,9.43,Pup,2012-05-22
HD 187299,Sarah Fisher,Austria,7.17,Vul,2012-06-01
HD 197058,Teodorico Sierra,Spain,7.35,Aqr,2012-06-03
HD 101766,Kusum Sangha ,India,8.18,Mus,2012-06-04
HD 150918,Taroob Deeb,UAE,7.9,Her,2012-06-07
HD 162404,Nisrin Rahal,UAE,7.8,Oph,2012-06-08
HD 109968,Gijsbrecht Broeke,Netherlands,9.36,Com,2012-06-09
HD 180450,Faye Robinson ,United Kingdom,5.88,Lyr,2012-06-10
HD 169751,Antônio Correia,Brazil,8.33,Sct,2012-06-11
HD 46291,Brooke Austin,USA,8.26,Men,2012-06-13
HD 7430,Nicolas Goncalves,Portugal,8.54,Phe,2012-06-14
HD 62617,Querubina Pagan,Columbia,7.73,Pup,2012-06-15
HD 54238,Zanubiya Boutros,UAE,8.19,Vol,2012-06-18
HD 153920,Clementine Kling ,USA,8.15,Sco,2012-06-20
HD 143048,Shaiming Hsueh,China,9.08,Lib,2012-06-21
HD 94034,Benigna Pacheco,Spain,7.95,Ant,2012-07-01
HD 62095,Millie Green,USA,8.42,Lyn,2012-07-02
HD 216679,Domokos Német,Hungary,7.54,Gru,2012-07-04
HD 110278,Demi Gardner,USA,8.41,CVn,2012-07-06
HD 135078,An Chung,Vietnam,7.27,Boo,2012-07-07
HD 171066,Alice Roche ,France,7.37,Lyr,2012-07-11
HD 31326,Guo Shih,China,7.89,Aur,2012-07-13
HD 12915,Muhammad Ingram,USA,7.71,Eri,2012-07-14
HD 8752,Isolde Samoylova,Russia,8.63,Phe,2012-07-19
HD 108230,Gonca Daemen,Netherlands,9.35,Hya,2012-07-21
HD 176978,Gabriele Herzog ,Switzerland,7.37,Aql,2012-07-23
HD 218133,Artoor Vasilʲchook ,Ukraine,7.1,Peg,2012-07-24
HD 198648,Brandon Hartley,USA,7.29,Cap,2012-08-03
HD 21216,Jongsu Sin ,South Korea,8.44,Eri,2012-08-06
HD 210782,Juhui Choe ,South Korea,8.86,Gru,2012-08-09
HD 10694,Gwendolyn van Valkenburg,Netherlands,8.77,And,2012-08-13
HD 35108,Grégoire Collet ,France,8.63,Aur,2012-08-14
HD 141473,Rachael Boehm ,Philippines,8.36,Boo,2012-08-15
HD 46776,Halah Basara,Saudi Arabia,7.84,Aur,2012-08-16
HD 19879,Maria Goncalves,Brazil,8.31,Hyi,2012-08-17
HD 26450,Tamara Ponomaryova,Russia,7.66,Eri,2012-08-22
HD 210762,Valentin Borodin,Russia,5.97,Peg,2012-08-23
HD 212908,Nazeera Moghadam,Pakistan,8.88,Cep,2012-08-25
HD 27850,Niels Dahl,Norway,8.15,Eri,2012-08-26
HD 104307,Wu Lo,China,6.28,Crv,2012-08-27
HD 104250,Bronislava Ježková,Slovakia,7.98,Cen,2012-08-28
HD 18880,Rachel Brady,New Zealand,7.93,Per,2012-08-29
HD 200811,Emma Reid,New Zealand,8.88,Ind,2012-08-30
HD 123224,Katherine Chan,Australia,7.98,Cen,2012-08-31
HD 45540,Sahar Touma,Tunis,8.55,Aur,2012-09-01
HD 136731,Jeltsje Rebel,Netherlands,8.91,Ser,2012-09-02
HD 29783,Matthew Lee ,United Kingdom,7.87,Men,2012-09-03
HD 17814,Petra Raić-Sudar ,Croatia,8.65,Hyi,2012-09-05
HD 105342,Adam Andrews,USA,8.56,Vir,2012-09-18
HD 11216,Bao Teng,China,7.79,And,2012-09-19
HD 39771,Maya Bisheko ,Nigeria,8.6,Ori,2012-09-23
HD 137231,Francesca Pineda,Uruguay,9.3,Lup,2012-09-28
HD 24488,Beulah Cole ,USA,7.91,Eri,2012-09-29
HD 138900,Yi Jie Hu,China,8.4,UMi,2012-10-02
HD 157751,Olivia Holst,Norway,7.63,Sco,2012-10-06
HD 134664,Qubilah Koury,Morocco,7.76,Lup,2012-10-07
HD 72792,Nandini Dhawan ,India,7.64,UMa,2012-10-08
HD 12129,Victor Berg,Sweden,8.48,For,2012-10-12
HD 187255,Thủy Hồ,Vietnam,7.57,Vul,2012-10-16
HD 23760,Silvana De Luca,Italy,8.4,Hyi,2012-10-17
HD 90076,Jun Mai,China,8.51,Car,2012-10-18
HD 14325,Ala' Said,Bangladesh,9.52,Cet,2012-10-20
HD 48097,Vijayent Ahluwalia ,India,5.2,Gem,2012-10-21
HD 65,Juan Chien,China,7.78,Scl,2012-10-22
HD 106200,Aruna Lachman ,India,8.43,Cen,2012-10-23
HD 26490,Eva Nováková,Czech Republic,8.95,Dor,2012-10-25
HD 148998,Li Pan,China,8.26,Her,2012-10-26
HD 201159,Amalie Rasmussen,Denmark,6.71,Aqr,2012-10-27
HD 129228,Aleksandar Novak ,Croatia,8.47,Boo,2012-11-02
HD 38696,Eliška Charvátová,Czech Republic,9.41,Ori,2012-11-06
HD 14975,Ursula Howe ,USA,8.56,Cet,2012-11-12
HD 220291,Jolanda Huber ,Switzerland,8.8,Psc,2012-11-15
HD 14139,Luiza Goncalves,Brazil,9.28,Cet,2012-11-16
HD 136009,'Aqilah Antar,Iraq,8.28,CrB,2012-11-17
HD 34109,Túy Đào,Vietnam,6.69,Cep,2012-11-18
HD 79127,Emily Bang,Denmark,7.75,Cnc,2012-11-19
HD 58710,Anusha Munshi ,India,8.05,Cam,2012-11-22
HD 183104,Lola Wright,USA,8.76,Aql,2012-11-28
HD 83329,Fitrah Thang ,Malaysia,6.85,Hya,2012-11-30
HD 42963,Cyril Ochoa,Guatemala,8.06,Mon,2012-12-04
HD 61521,Augusta Fallaci,Italy,8.19,Cam,2012-12-09
HD 135986,Tristan Gros ,France,9.47,Lup,2012-12-11
HD 167784,Widaad Bitar,Iraq,8.97,Her,2012-12-13
HD 97459,Ilona Bobrova,Russia,9.48,Leo,2012-12-17
HD 5488,Aimad Elemans,Netherlands,8.32,Tuc,2012-12-20
HD 155136,Sabrina Bürger,Austria,6.66,Her,2012-12-22
HD 16699,Taehui Bak ,South Korea,7.35,Hor,2012-12-25
HD 148433,Jeonghwa Go ,South Korea,7.23,Her,2012-12-27
HD 101194,Idun Gustafsson,Sweden,7.76,UMa,2012-12-30
HD 94383,Nadine Henriksson,Sweden,8.35,UMa,2013-01-01
HD 98760,Mathilda Öberg,Sweden,8.37,Leo,2013-01-02
HD 64578,Nica Osinga,Netherlands,8.74,Pup,2013-01-04
HD 120531,Flavie Borrego,Peru,7.97,CVn,2013-01-05
HD 17328,Vedran Vlahović ,Croatia,8.95,Per,2013-01-07
HD 224290,Montserrat Arreola,Argentina,8.93,Tuc,2013-01-08
HD 21646,Holly Holden,USA,9.17,Hor,2013-01-11
HD 87899,Patrick Francois ,France,8.88,UMa,2013-01-12
HD 176185,Calista Abernathy ,Philippines,9.44,Sgr,2013-01-14
HD 21134,Logistilla Lamy,Ivory Coast,7.29,Tau,2013-01-15
HD 39606,Emilly Dias,Portugal,8.84,Pic,2013-01-16
HD 148546,Annika Soini,Finland,7.72,Sco,2013-01-17
HD 104725,Mia Clausen,Denmark,7,Dra,2013-01-18
HD 71634,Darina Ptáčková,Slovakia,6.65,Car,2013-01-25
HD 20004,Sol Johansson,Sweden,8.22,Cas,2013-02-04
HD 200406,Amelia Barlow,New Zealand,7.93,Cyg,2013-02-06
HD 215401,Michael Douglas,USA,8.67,Peg,2013-02-12
HD 6317,Stjepan Kovačić ,Croatia,8.98,Phe,2013-02-14
HD 181598,Kuan-Yin Ch'in,China,8.6,Cyg,2013-02-16
HD 163574,Rachel Lord,USA,8.97,Sgr,2013-02-18
HD 89122,Gay Ouellet,Canada,8.84,Car,2013-02-22
HD 21350,Victoria May,New Zealand,9.54,For,2013-02-27
HD 84915,Matilda Foster,Australia,8.7,Leo,2013-03-01
HD 21610,Panagachie Mateescu ,Romania,6.56,Cas,2013-03-02
HD 716,Emile Iversen,Denmark,8.08,Psc,2013-03-03
HD 111613,Rowland Aurishaba ,Nigeria,5.71,Cru,2013-03-05
HD 77455,Dhuka' Khoury,Saudi Arabia,6.93,Car,2013-03-10
HD 131432,Demi Cameron,USA,5.85,Cen,2013-03-13
HD 21999,Jan Karjalainen,Finland,7.62,For,2013-03-14
HD 168178,Yevguyenіya Kravchyenko ,Ukraine,7.03,Lyr,2013-03-18
HD 80982,Josefine Henriksen,Norway,8.22,UMa,2013-03-19
HD 132984,Rayya Nader,Pakistan,7.4,Cir,2013-03-24
HD 167325,Bethany Cooke,USA,7.29,Pav,2013-03-28
HD 75404,Pimpinela Melgar,Guatemala,7.6,Lyn,2013-03-31
HD 153105,Bahadur Raju ,India,8.11,Sco,2013-04-07
HD 171961,Saemi No ,South Korea,5.78,Sgr,2013-04-11
HD 219125,Kang Lung,China,8.24,Oct,2013-04-15
HD 173760,Evelina van Dodewaard,Netherlands,8.32,Lyr,2013-04-16
HD 46633,Thawab Hakimi,Bangladesh,7.74,Cam,2013-04-17
HD 125054,Marilina Guerra,Columbia,8.77,Boo,2013-04-22
HD 286727,William Lagarde ,France,9.63,Tau,2013-04-23
HD 146265,Yarah Kanaan,UAE,8.06,Her,2013-04-24
HD 118142,Lemuel Russel ,Philippines,8.3,CVn,2013-04-25
HD 27556,Sukaynah Ghannam,Pakistan,8.03,Ret,2013-05-02
HD 18392,I'timad Salib,Bangladesh,6.65,Per,2013-05-03
HD 18106,Dongha Yeon ,South Korea,8.66,Ari,2013-05-04
HD 221374,Marjorie Nimukunda ,Nigeria,8.87,Phe,2013-05-06
HD 138039,Laura Bach,Denmark,7.01,Ser,2013-05-08
HD 187014,Craig Mitchell ,United Kingdom,8.07,Sge,2013-05-09
HD 236426,Ella Reid,USA,9.28,Cas,2013-05-13
HD 222503,Rayan Somers ,Belgium,8.65,Psc,2013-05-18
HD 35770,Ayeh Seif,Morocco,5.52,Tau,2013-05-19
HD 6042,Colleen Wehner ,USA,9.43,Phe,2013-05-20
HD 144110,Holly Coleman,USA,8.61,Dra,2013-05-28
HD 60584,Isabelle Carvalho,Brazil,5.06,Pup,2013-05-29
HD 5556,Pirjo Lindman,Finland,7.02,Psc,2013-05-31
HD 23425,Glauco Puente,Spain,9,Hyi,2013-06-02
HD 38888,Liang Yüan,China,8.62,Col,2013-06-17
HD 39197,Hubab Cham,Bangladesh,7.12,Men,2013-06-23
HD 286327,Alejo Lemus,Cuba,9.77,Tau,2013-07-02
HD 121366,Olivia Humphries,USA,7.27,Cam,2013-07-03
HD 169570,Inda Acuna,Argentina,5.88,Pav,2013-07-04
HD 191273,Gracie Joyce,New Zealand,7.83,Sgr,2013-07-13
HD 69523,Gregorio Palerma,Italy,7.39,Hya,2013-07-15
HD 166557,Emile Vercammen ,Belgium,8.22,Tel,2013-07-16
HD 212121,Despina Stefan ,Romania,8.65,Lac,2013-07-17
HD 91244,Kalpit Jani ,India,9.27,UMa,2013-07-27
HD 110630,Afaf Safar,UAE,8.43,Vir,2013-07-28
HD 237536,Erzsok Mezey,Hungary,9.69,Lyn,2013-07-29
HD 66594,Himanshu Mitra ,India,7.61,Mon,2013-07-30
HD 173173,Meeia Rajakumar ,Malaysia,8.24,Her,2013-07-31
HD 81359,Margot Dias ,France,8.52,Leo,2013-08-03
HD 173556,Frύne Yeoyiathoe ,Greece,8.76,Sgr,2013-08-04
HD 100,Luật Chu,Vietnam,6.9,Peg,2013-08-05
HD 60298,Katrine Jakobsen,Norway,7.37,Gem,2013-08-11
HD 223388,Thea Sørensen,Denmark,8.85,Cas,2013-08-14
HD 21511,Jin Su,China,7.33,Ari,2013-08-15
HD 23965,Kuyen López,Guatemala,7.29,Tau,2013-08-16
HD 93671,Gangsar Andriani ,Indonesia,7.99,UMa,2013-08-17
HD 84337,Cole Howe ,Philippines,7.75,Sex,2013-08-18
HD 129514,Manchu Kuo,China,8.21,Boo,2013-08-20
HD 38531,Nuhayd Sarraf,Iran,8.15,Ori,2013-08-21
HD 15540,Finley Fowler,Ireland,9.4,Cet,2013-08-26
HD 88130,Erik Gottlieb,Austria,8.15,Car,2013-08-27
HD 28633,Joséphine Mahe ,France,8.99,Hyi,2013-08-28
HD 33198,Juliane Fiedler,Germany,8.46,Col,2013-08-29
HD 58828,Aline Aparicio,Uruguay,9.73,Lyn,2013-09-04
HD 127877,Charles Ritchie ,USA,9.77,Cen,2013-09-05
HD 101563,Maddison Dean,USA,6.44,Hya,2013-09-09
HD 30076,Rawdha Deeb,Iran,5.78,Eri,2013-09-11
HD 219686,Ho Yeh,China,8.72,Aqr,2013-09-12
HD 32619,Isabela Cardoso,Brazil,7.52,Aur,2013-09-16
HD 101367,Jaqueline Lind ,USA,8.58,Vir,2013-09-19
HD 202701,Niamh Holmes,New Zealand,8.76,Cap,2013-09-25
HD 27295,Navami Mohabir ,India,5.5,Tau,2013-09-26
HD 174731,Galileo Pineda,Spain,7.43,Pav,2013-10-09
HD 220845,Tali Baeza,Mexico,8.44,And,2013-10-10
HD 274735,Alison Munyagwa ,Nigeria,8.94,Pic,2013-10-19
HD 33371,Zizi Suwarno ,Indonesia,8.27,Lep,2013-10-22
HD 48466,Gerónimo Figueroa,Peru,8.89,Car,2013-10-23
HD 197219,İrem Erez ,Turkey,8.49,Pav,2013-10-28
HD 201262,Li Mei T'ang,China,7.84,Cap,2013-11-01
HD 42877,Nafisah Maroun,Saudi Arabia,8.62,Ori,2013-11-05
HD 43853,Geonu Jeong ,South Korea,8.19,Cam,2013-11-09
HD 43021,Tom Stewart ,United Kingdom,7.82,Ori,2013-11-15
HD 213178,Viridiana Adame,Chile,7.16,Peg,2013-11-20
HD 67364,Mahmood Chaudhry ,India,5.52,Car,2013-11-23
HD 2546,Manela Mercado,Chile,8.51,Phe,2013-11-24
HD 79567,Niamh Dickinson,USA,7.8,Hya,2013-11-27
HD 112563,Courtney Clark,USA,6.72,Cen,2013-12-04
HD 193347,Cakrawangsa Pranowo ,Indonesia,6.61,Vul,2013-12-10
HD 42012,Mariam Johansson,Sweden,8.44,Aur,2013-12-13
HD 27628,Aladdin Nazari,Pakistan,5.72,Tau,2013-12-18
HD 108845,Tjitse de Klein,Netherlands,6.21,CVn,2013-12-19
HD 92279,Solehah Dhillon ,Malaysia,8.29,LMi,2013-12-21
HD 852,Pierre Grady ,Philippines,8.19,Psc,2013-12-24
HD 144088,Mulan Han,China,8.02,Sco,2013-12-26
HD 148912,Anaan Kanaan,UAE,6.79,Oph,2014-01-02
HD 75903,Sandrine Mitchell ,USA,8.35,Pyx,2014-01-03
HD 2425,Tearlach Lampron,Canada,8.46,Scl,2014-01-04
HD 137463,Edward Kelly,Australia,6.97,Lib,2014-01-06
HD 284414,Sofi Eliasson,Sweden,9.39,Tau,2014-01-08
HD 47600,Svetlana Aksakova,Russia,7.9,Col,2014-01-10
HD 185858,Eliana Valladares,Argentina,7.09,Vul,2014-01-14
HD 194314,Lyuba Kharlamova,Russia,7.61,Oct,2014-01-16
HD 284676,Joeke Brakenhoff,Netherlands,8.96,Tau,2014-01-20
HD 191216,Maricruz Burgos,Spain,8.22,Sgr,2014-01-23
HD 129393,Sabine Fouquet,Ivory Coast,8.3,Vir,2014-01-25
HD 43818,Zinah Deeb,Siria,6.91,Gem,2014-01-27
HD 86992,Alexandre Paris ,France,7.23,Ant,2014-02-02
HD 235994,Christine Gerhold ,USA,9.2,Lac,2014-02-04
HD 192970,Beatriz Almeida,Brazil,8.57,Sge,2014-02-08
HD 209805,Kasturi Bera ,India,9.15,Gru,2014-02-13
HD 8312,Rüya Duygulu ,Turkey,8.7,Cet,2014-02-16
HD 37414,Kemba Saputra ,Indonesia,8.49,Col,2014-02-20
HD 20717,Aatif Rajan ,India,7.34,Ari,2014-02-24
HD 203425,Nuil Lira,Spain,7.39,Cep,2014-02-25
HD 13118,Bacco Bellucci,Italy,8.96,For,2014-03-06
HD 221894,Valyentina Brovarchook ,Ukraine,9.32,Aqr,2014-03-16
HD 156966,Xavier Lanctot,Ivory Coast,6.8,Her,2014-03-17
HD 55832,Florian Hendrickx ,Belgium,5.9,Mon,2014-03-21
HD 14246,Paul Rocher ,France,7.69,For,2014-03-22
HD 98733,Wen Tai,China,7.93,Cen,2014-03-28
HD 36617,Paula Bennett ,United Kingdom,8.42,Ori,2014-04-07
HD 214460,Aleš Jaša,Slovakia,7.49,Aqr,2014-04-08
HD 148045,Anamarija Brož ,Croatia,8.82,Nor,2014-04-12
HD 101974,Wajeeha Bishara,Egypt,7.94,Cen,2014-04-15
HD 235739,Іnna Kramaryenko ,Ukraine,9.12,Lac,2014-04-19
HD 60807,Haeun Do ,South Korea,7.73,Mon,2014-04-21
HD 68372,Naila Hanania,UAE,7.32,Car,2014-04-22
HD 30134,Erzsi Vargha,Hungary,7.72,Cam,2014-04-25
HD 88304,Baptiste Lecocq ,Belgium,6.97,Vel,2014-04-27
HD 183316,Evelyn Almeida,Portugal,7.94,Pav,2014-04-28
HD 16170,Quintilian Carranza,Spain,6.24,Hor,2014-04-30
HD 334394,Kamilah Morcos,UAE,9.53,Vul,2014-05-05
HD 133736,Daisy Nelson,USA,8.84,Lup,2014-05-06
HD 43898,Junseo Nam ,South Korea,7.89,Col,2014-05-08
HD 127070,Sâm Phạm,Vietnam,8.57,Boo,2014-05-09
HD 105863,Katerina Alexeeva,Russia,9.54,Com,2014-05-15
HD 192871,Julia Mohr ,USA,7.17,Vul,2014-05-17
HD 172134,Lexi Matthews ,United Kingdom,7.44,Her,2014-05-19
HD 172557,Jamil Damanik ,Indonesia,8.22,Dra,2014-05-20
HD 138005,Margarete O'Kon ,USA,8.6,CrB,2014-05-21
HD 25459,Luzia Kaiser ,Switzerland,7.83,Eri,2014-05-25
HD 161114,Gladys Oberbrunner ,Philippines,8.77,Oph,2014-05-27
HD 191649,Ngọc Triệu,Vietnam,7.4,Cyg,2014-05-28
HD 124309,Cerys Sinclair,USA,7.76,Cen,2014-05-30
HD 45161,Brigitte Amsel,Austria,8.14,Cam,2014-05-31
HD 97516,Nicola Wenger ,Switzerland,8.84,Crt,2014-06-02
HD 232977,Emel Tekelioğlu ,Turkey,9.63,Cam,2014-06-04
HD 130173,Louis Samson ,France,6.87,Dra,2014-06-05
HD 3763,Zakiyah Essa,Bangladesh,9.02,Hyi,2014-06-08
HD 213047,Pernille Bech,Norway,7.09,Cep,2014-06-13
HD 127969,Sinem Tuğlu ,Turkey,8.84,Cen,2014-06-14
HD 145273,Paul Brown ,USA,8.09,Her,2014-06-16
HD 81563,Eliza Merks,South Africa,8.27,Leo,2014-06-19
HD 86237,Kristýna Sedláková,Czech Republic,8.24,LMi,2014-06-24
HD 279171,Jerad Mueller ,Philippines,9.54,Per,2014-06-25
HD 48974,Karolin Maier,Austria,8.81,Cam,2014-06-26
HD 46250,Matthew Burns,USA,7.51,Aur,2014-06-29
HD 193108,Julien Baudry ,France,8.78,Cap,2014-07-02
HD 52418,Jade Jennings,USA,6.86,Vol,2014-07-03
HD 29956,Arthur Fernandes,Brazil,8.92,Per,2014-07-04
HD 87287,Yu Jie Teng,China,8.36,Leo,2014-07-05
HD 66778,Atma Purwanti ,Indonesia,6.98,Mon,2014-07-06
HD 187775,Matija Bogdanić ,Croatia,6.67,Aql,2014-07-07
HD 95096,Manikavasagam Saravanan ,Malaysia,8.65,Car,2014-07-09
HD 88554,Salvador Macejkovic ,USA,9.33,Vel,2014-07-12
HD 173198,Elio Berrios,Uruguay,7.77,Aql,2014-07-14
HD 15564,Mishaal Hadad,Morocco,8.6,Ari,2014-07-16
HD 181926,Kandiah Jainal ,Malaysia,8.55,Tel,2014-07-17
HD 193706,Julia Batista,Argentina,7.87,Vul,2014-07-19
HD 34300,Xiong Tuan,China,8.54,Aur,2014-07-21
HD 70928,Sabine Klein,Austria,6.93,Pup,2014-07-28
HD 134899,Roderick Roberts ,USA,7.77,TrA,2014-07-29
HD 224921,Livia Goncalves,Brazil,8.47,And,2014-08-01
HD 27248,Jamila Franco,Mexico,7.86,Tau,2014-08-02
HD 151252,Ross Gleason ,USA,8.22,Dra,2014-08-05
HD 133371,Isabela Rodrigues,Brazil,9.98,Boo,2014-08-07
HD 191365,Duncan Roberts ,United Kingdom,8.36,Cap,2014-08-14
HD 10275,Camila Pinto,Brazil,7.56,Psc,2014-08-16
HD 149935,Verena Barraza,Argentina,9.23,Sco,2014-08-17
HD 123580,Julie Singhal ,India,8.8,Vir,2014-08-18
HD 200081,Bahira Shamoon,Saudi Arabia,7.95,Aqr,2014-08-23
HD 83453,Hayed Shamon,Algeria,7.72,Hya,2014-08-24
HD 32841,Emre Ayverdi ,Turkey,8.17,Eri,2014-08-31
HD 109134,Chhavi Mathai ,India,7.58,Hya,2014-09-01
HD 5930,Juwan Beer ,USA,8.98,Cet,2014-09-08
HD 105013,Yrko Duarte,Spain,8.6,Cen,2014-09-09
HD 207766,Briseida Medrano,Cuba,8.67,Ind,2014-09-15
HD 159930,Meng Niu,China,9.98,Ser,2014-09-19
HD 19264,Mitchell Ward ,USA,9.13,Hor,2014-09-28
HD 17107,Adam Jacquet ,Belgium,8.53,Cet,2014-10-06
HD 210643,Karen Suryatmi ,Indonesia,8.83,Cep,2014-10-07
HD 295595,Melissa Barros,Brazil,8.37,Mon,2014-10-10
HD 174802,Jinsu U ,South Korea,6.77,Sgr,2014-10-12
HD 107246,Utku Yıldızoğlu ,Turkey,6.6,Hya,2014-10-16
HD 186261,Ulrike Keller,Germany,9.07,Vul,2014-10-17
